brand_name,score
래미안 원,5
래미안원,5
디에이치,5
써밋,5
아크로,5
르엘,5
드파인,5
트리마제,5
래미안,4
힐스테이트,4
푸르지오,4
e편한세상,4
자이,4
더샵,4
롯데캐슬,4
VIEW,4
아이파크,4
포레나,3
위파크,3
베르디움,3
호반써밋,3
트리븐,3
중흥S클래스,3
제일풍경채,3
엘리프,3
서희스타힐스,3
하늘채,3
아테라,3
힐데스하임,2
로열파크씨티,2
썬앤빌,2
헤리엇,2
에피트,2
한라비발디,2
스위첸,2
아람채,2
리마크빌,2
SD아이프라임,2
벨라시티,2
미소지움,2
더리브,2
NEUM,2
가화만사성,2
리안비채,2
개성하이뷰,2
라포르테,2
건영아모리움,2
경남아너스빌,2
경동리인,2
경보이리스힐,2
경보센트리안,2
스마트W,2
이지움,2
고려풀비체,2
고운하이플러스,2
고운시티아이,2
고운라피네,2
광신프로그레스,2
도나우타운,2
국제미소래,2
스타클래스,2
근화베아채,2
휴티스,2
금강아미움,2
금강에스쁘아,2
금강펜테리움,2
금광베네스타,2
솔리힐,2
두비앙,2
예미지,2
에코팰리스,2
포르투나,2
길성그랑프리텔,2
삼환나띠르빌,2
모닝빌,2
하우스토리,2
남명더라우,2
남양휴튼,2
남해오네뜨,2
펠리시아,2
다우아트리체,2
대경파미르,2
대광로제비앙,2
대라수,2
성우 그로브,2
다미아,2
벨리온,2
대명루첸,2
디에트르,2
대방디엠시티,2
대방노블랜드,2
대방엘리움,2
하우스디,2
웰라움,2
대상웰리움,2
대성베르힐,2
퀸즈W,2
에스티아,2
아리스타,2
이안,2
엑소디움,2
푸르지오 발라드,2
엘크루,2
대원칸타빌,2
디펠리체,2
줌파크,2
스위트엠,2
프라비다,2
본아르떼,2
덕산아내,2
스테빌리움,2
동국 에버리치,2
동광뷰웰,2
동광모닝스카이,2
오드카운티,2
동도센트리움,2
동문 디 이스트,2
동문굿모닝힐,2
센트레빌,2
센트레빌 아스테리움,2
동부이끌림,2
베스티움,2
동서프라임 36.5,2
동아라이크텐,2
동양엔파트,2
파라곤,2
더 뉴클래스,2
동원로얄듀크,2
비스타동원,2
동원베네스트,2
동익미라벨,2
동일스위트,2
센타시아,2
동일하이빌,2
동화아이위시,2
드림파크,2
미소드리움,2
두산위브,2
두산위브 더제니스,2
하트리움,2
디알에코시티,2
센트럴카운티,2
라온프라이빗,2
EG the1,2
J클래스,2
리젠시빌 란트,2
풀리비에,2
명지로드힐,2
모아미래도,2
모아엘가,2
더 베스트빌,2
퀸즈파크,2
지엔하임,2
아트래디앙,2
미진이지비아,2
반도유보라,2
범양레우스,2
벽산블루밍,2
e-솔렌스힐,2
골드클래스,2
보광그랑베르,2
보국웰리치,2
보미리즌빌,2
보해이브,2
수린나,2
사랑으로부영,2
트리쉐이드,2
벨로스텔라,2
비콘드림힐,2
산이고운,2
삼구트리니엔,2
삼도뷰엔빌,2
삼부르네상스,2
헤렌시움,2
로하스빌,2
솔하임,2
아이필,2
삼일브리제하임,2
삼정 그린코아,2
삼정 그린코아 포레스트,2
삼한사랑채,2
삼한골든뷰,2
삼환나우빌,2
상상포레스트,2
상지리츠빌,2
천년가,2
아르니,2
세광엔리치타워,2
세원 O2리움,2
서린엘마르,2
서한이다음,2
서한포레스트,2
서해그랑블,2
엘리체,2
서희스타힐스,2
아데나,2
선광로즈웰,2
디 엘본,2
성도르피스,2
벨루미체,2
성원상떼빌,2
상현재,2
루브루,2
초록지붕,2
웰러스,2
애뜨젠,2
세원 수,2
써밋 프레스티지,2
세움펠리피아,2
세한프리빌,2
봄여름가을겨울,2
승원팰리체,2
송보파인빌,2
시티프라디움,2
휴엔하임,2
파밀리에,2
블루아,2
신명스카이뷰,2
르네블루 신성,2
빌리브,2
신세계 쉐덴,2
신안실크밸리,2
신안인스빌,2
지웰,2
브라이튼,2
희가로,2
신원리브웰,2
신원아침도시,2
신일해피트리,2
디아채,2
헤센,2
신화하니엘,2
더 플래티넘,2
에일린의 뜰,2
W,2
아주아트빌,2
디오르나인,2
럭스나인,2
라피아노,2
양우내안애,2
트라지움,2
영무예다음,2
영진자이온,2
영풍마드레빌,2
블렌하임,2
세영리첼,2
에이스 카운티,2
에비뉴원,2
파란채,2
백년가,2
영남네오빌,2
보듬채,2
두레라움,2
예서더불어,2
예일세띠앙,2
웰메이드,2
와이시티,2
용진스타티스,2
우남퍼스트빌,2
우미 린,2
우방 아이유쉘,2
우석밸리치,2
우성 르보아,2
우성스마트시티뷰,2
우신미가뷰,2
우평원더라움,2
네오미아,2
월드메르디앙,2
월드파크,2
유림노르웨이숲,2
유림노르웨이아침,2
유탑유블레스,2
유성푸르나임,2
유승한내들,2
유진스웰,2
유창 아이리치,2
유호N플러스빌,2
타운힐스,2
브라운스톤,2
이원웰스타,2
이원베르빌,2
라비다,2
스위트클래스,2
일동미라주,2
일동지에닌,2
파크사이드,2
트루엘,2
휴먼빌,2
레이시티,2
자이르네,2
골든렉시움,2
정림다채움,2
정하에코하임,2
해피투모로우,2
중우아팰리스,2
중앙하이츠,2
블루힐스,2
중해마루힐,2
오투그란데,2
지산오차드힐,2
지안스로가,2
지원더뷰,2
지에이그린웰,2
지엘리베라움,2
시그너스,2
지오스테이션,2
