kaptCode,schul_nm,schul_dstnc
A11034001,서울교동초등학교,119
A10020992,서울교동초등학교,83
A11041001,서울효제초등학교,256
A10027162,서울효제초등학교,79
A10023586,서울효제초등학교,198
A10023741,서울혜화초등학교,240
A11052201,서울혜화초등학교,242
A11076701,서울혜화초등학교,235
A10021626,서울창신초등학교,110
A11054101,서울창신초등학교,45
A11054301,서울명신초등학교,1
A11077101,서울명신초등학교,74
A11087601,서울창신초등학교,161
A11087602,서울명신초등학교,41
A10027118,서울독립문초등학교,323
A10026940,서울독립문초등학교,188
A10026946,서울독립문초등학교,257
A10025710,서울독립문초등학교,0
A11081302,서울독립문초등학교,216
A11081503,서울독립문초등학교,1
A10088102,서울남산초등학교,315
A10072501,서울남산초등학교,204
A10071301,서울충무초등학교,260
A10025223,서울충무초등학교,117
A10026849,서울충무초등학교,110
A10024327,서울충무초등학교,276
A10021020,서울신당초등학교,120
A10025372,서울신당초등학교,40
A10045001,서울흥인초등학교,365
A10045002,서울흥인초등학교,69
A10045301,서울동호초등학교,51
A10045302,서울동호초등학교,51
A10045401,서울청구초등학교,117
A10045402,서울청구초등학교,168
A10045403,서울청구초등학교,117
A10045404,서울청구초등학교,168
A10078102,서울흥인초등학교,212
A10078901,서울신당초등학교,53
A10095501,서울광희초등학교,108
A10095502,서울광희초등학교,63
A10024801,서울신당초등학교,239
A10086801,서울신당초등학교,199
A10023788,서울봉래초등학교,255
A10085903,서울봉래초등학교,60
A10095301,서울미동초등학교,212
A10080701,서울봉래초등학교,106
A10026517,서울봉래초등학교,61
A10026881,서울봉래초등학교,4
A14019001,서울삼광초등학교,390
A14070901,서울삼광초등학교,354
A14070301,서울용산초등학교,389
A14070302,서울용산초등학교,384
A14006001,서울원효초등학교,77
A14004001,서울원효초등학교,7
A14004002,서울원효초등학교,8
A10023464,서울원효초등학교,277
A14005001,서울원효초등학교,258
A10022232,서울원효초등학교,358
A14085002,서울원효초등학교,297
A14085101,서울원효초등학교,273
A10025898,서울금양초등학교,2
A14074101,서울금양초등학교,121
A14074102,서울금양초등학교,198
A14007002,서울금양초등학교,282
A14083101,서울금양초등학교,358
A10027901,서울용산초등학교,324
A14010001,서울용산초등학교,283
A14010002,서울용산초등학교,309
A14010003,서울용산초등학교,201
A14009001,서울남정초등학교,18
A14001101,서울용산초등학교,123
A14075201,서울용산초등학교,54
A10023195,서울용산초등학교,102
A10024333,서울용산초등학교,1
A10026719,서울한강초등학교,334
A14001201,서울용산초등학교,333
A10025626,서울한강초등학교,146
A14001303,서울한강초등학교,237
A14074501,서울한강초등학교,364
A14088201,서울한강초등학교,355
A14088302,서울한강초등학교,227
A14003002,서울신용산초등학교,198
A14003003,서울신용산초등학교,24
A14003007,서울신용산초등학교,253
A14003104,서울신용산초등학교,132
A14003106,서울신용산초등학교,4
A14072702,서울신용산초등학교,4
A14077401,서울신용산초등학교,190
A10027425,서울용암초등학교,156
A14086001,서울보광초등학교,121
A14086101,서울용암초등학교,302
A14077902,서울한남초등학교,211
A10022221,서울서빙고초등학교,53
A14024001,서울서빙고초등학교,29
A13373301,서울숭신초등학교,162
A13373302,서울숭신초등학교,162
A10026900,서울무학초등학교,330
A10027289,서울숭신초등학교,53
A10027432,서울무학초등학교,188
A10027454,서울숭신초등학교,194
A10027920,서울숭신초등학교,0
A10027969,서울숭신초등학교,0
A13302001,서울동명초등학교,107
A13302201,서울무학초등학교,115
A13302203,서울금북초등학교,10
A13302204,서울무학초등학교,183
A13302206,서울금북초등학교,59
A13385705,서울무학초등학교,0
A13385802,서울무학초등학교,111
A13388001,서울동명초등학교,107
A10024762,서울동명초등학교,298
A13370801,서울동명초등학교,334
A13305002,서울마장초등학교,197
A13305003,서울마장초등학교,23
A13305005,서울마장초등학교,335
A13305006,서울마장초등학교,193
A13305007,서울사근초등학교,186
A13381601,서울마장초등학교,318
A13381608,서울마장초등학교,0
A10022058,서울사근초등학교,198
A13381701,서울사근초등학교,8
A10025686,서울행당초등학교,104
A10026207,서울행당초등학교,211
A13307002,서울행당초등학교,49
A13307101,서울행당초등학교,292
A13307201,서울행현초등학교,12
A13307202,서울행당초등학교,37
A13307204,서울행현초등학교,0
A13377703,서울행현초등학교,24
A13377901,서울행당초등학교,104
A13377902,서울행현초등학교,0
A13386702,서울행당초등학교,3
A13308004,서울응봉초등학교,115
A13308005,서울응봉초등학교,8
A13376906,서울응봉초등학교,34
A13385202,서울응봉초등학교,117
A13385301,서울응봉초등학교,168
A13385303,서울응봉초등학교,268
A10026418,서울금북초등학교,365
A13309101,서울금북초등학교,53
A13309102,서울옥수초등학교,349
A13380104,서울금북초등학교,155
A10027602,서울금호초등학교,113
A13380301,서울금호초등학교,38
A13380302,서울금호초등학교,230
A13309301,서울금호초등학교,145
A13379001,서울금호초등학교,77
A13380602,서울금호초등학교,113
A13380703,서울금호초등학교,231
A10023252,서울금옥초등학교,210
A10026470,서울옥수초등학교,187
A13309402,서울금옥초등학교,50
A13309404,서울옥수초등학교,0
A13378102,서울옥수초등학교,8
A13380803,서울옥수초등학교,0
A13380901,서울금옥초등학교,80
A10026748,서울동호초등학교,2
A13310004,서울옥정초등학교,217
A13375901,서울옥정초등학교,61
A13375902,서울옥정초등학교,1
A13375903,서울옥정초등학교,186
A13375904,서울옥정초등학교,7
A13375906,서울옥정초등학교,99
A13375907,서울금옥초등학교,163
A13375909,서울옥정초등학교,106
A13376702,서울옥정초등학교,122
A13383801,서울옥정초등학교,7
A13384403,서울옥정초등학교,292
A10021528,서울경일초등학교,218
A10026988,서울경일초등학교,97
A13311101,서울경동초등학교,7
A13376405,서울경일초등학교,8
A13381902,서울경동초등학교,164
A13382104,서울경일초등학교,84
A13382106,서울경동초등학교,242
A13384301,서울경동초등학교,166
A13384303,서울경동초등학교,387
A13392307,서울경일초등학교,7
A10020852,서울경수초등학교,357
A10021167,서울성수초등학교,290
A10021449,서울경수초등학교,359
A10021638,서울성수초등학교,114
A10022325,서울경동초등학교,155
A10023316,서울경수초등학교,8
A10025101,서울경수초등학교,115
A13312101,서울경수초등학교,117
A13378001,서울경동초등학교,19
A13316001,서울송원초등학교,6
A13383702,서울송원초등학교,81
A10022175,서울용답초등학교,215
A10020402,서울중마초등학교,69
A14322001,서울용곡초등학교,158
A10021381,서울광진초등학교,18
A10023951,서울구의초등학교,6
A10024667,서울구남초등학교,60
A10025573,서울구남초등학교,167
A10025985,서울광진초등학교,73
A10026874,서울구남초등학교,166
A14320001,서울구남초등학교,6
A14320002,서울구남초등학교,23
A14320003,서울구남초등학교,264
A14320302,서울구남초등학교,61
A14320304,서울구남초등학교,284
A14382101,서울구남초등학교,305
